study_name,table_name,column_name,long_description,unit,control_vocabulary,Confused?,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,cs137_counting_method,Code indicating the method used for determining radiocesium activity.,alpha = Alpha counting method used. gamma = Gamma counting method used.,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,pb210_counting_method,Code indicating the method used for determining lead 210 activity.,alpha = Alpha counting method used. gamma = Gamma counting method used.,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,excess_pb210_rate,Code indicating the mass or accretion rate used in the excess_pb_210_model,mass accumulation = Excess 210Pb modeled using mass accumulation rate. accretion = Excess 210Pb modeled using vertical accretion rate.,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,excess_pb210_model,Code indicating the model used to estimate excess lead 210.,CRS = Constant rate of supply model used. CIC = Constant initial concentration model used. CFCS = Constant flux constant sedimentation model used.,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,ra226_assumption,Code indicating the assumption used to estimate the core’s background 226Ra levels.,"each sample = 226Ra was measured for each sample. total core = 226Ra was measured for the total core, at asymptote = asy",,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,c14_counting_method,Code indicating the method used for determining radiocarbon activity.,AMS = Accelerator mass spectroscopy used. beta = Beta counting used.,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,dating_notes,Any submitter defined notes elaborating on the process of dating the core not yet made clear by the coding.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,age_depth_model_reference,Code indicating the reference or 0 year of the age depth model.,"YBP = Year zero is defined as years before present, 1960 CE. CE = Year zero is set according to Common Era and Before Common Era standards. core collection date = Year zero is set as the core’s collection year.",,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,age_depth_model_notes,Any submitter defined notes on how the age depth model was created.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Site Level,study_id,"Unique identifier for the study made up of the first author’s family name, as well as the second author’s family name or ‘et al.’ if more than three, then publication year separated by underscores.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Site Level,site_id,Site identification code unique to each study.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Site Level,site_description,Site description including relevant study details and political geographic units. Some of these descriptions can be automated by the ingestion code.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Site Level,site_latitude_max,Maximum latitude defining a bounding box for the site in decimal degree World Geodedic System of 1984 (WGS84). This can also be generated automatically by the ingestion code.,degree,,,,,,,,,,,,,,,,,,,,,
CCRCN,Site Level,site_latitude_min,Minimum latitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.,degree,,,,,,,,,,,,,,,,,,,,,
CCRCN,Site Level,site_longitude_max,Maximum longitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.,degree,,,,,,,,,,,,,,,,,,,,,
CCRCN,Site Level,site_longitude_min,Minimum longitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.,degree,,,,,,,,,,,,,,,,,,,,,
CCRCN,Site Level,site_boundaries,"As an alternative to submitting or automatically generating a bounding box, submitters can include a shapefile (.shp) or keyhole markup language (.kml) documenting the geographic boundaries of the site. This can be converted to and stored in well known text (WTK) format.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Site Level,salinity_class,"Code based on submitter field observation or measurement indicating average annual salinity (Note: Palustrine and freshwater should only include tidal wetlands, or wetlands that are potentially/formerly tidal but artificially freshened due to artificial tidal restrictions).",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Site Level,salinity_method,Indicate whether salinity_class was determined using a field observation or a measurement.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Site Level,salinity_notes,Any relevant submitter generated notes on how salinity_class was determined.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Site Level,vegetation_class,Code based on submitter field observations or measurement indicating dominant wetland vegetation type.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Site Level,vegetation_method,Indicate whether vegetation_class was determined using a field observation or a measurement,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Site Level,vegetation_notes,Any relevant submitter generated notes on how vegetation_class was were determined,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Site Level,inundation_class,Code based on submitter field observation or measurement indicating how often the coring location is inundated,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Site Level,inundation_method,Indicate whether inundation_class was determined using a field observation or a measurement,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Site Level,inundation_notes,Any relevant submitter generated notes on how inundation was determined,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,study_id,"Unique identifier for the study made up of the first author’s family name, as well as the second author’s family name or ‘et al.’ if more than three, then publication year separated by underscores.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,site_id,Site identification code unique to each study.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,core_id,Core identification code unique to each site.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,core_date,Date of core collection.,YYYY-MM-DD,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,core_notes,Any other relevant submitter generated notes on how cores were collected.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,core_latitude,Positional latitude of the core in decimal degree WGS84.,degree,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,core_longitude,Positional longitude of the core in decimal degree WGS84.,degree,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,core_position_accuracy,"Accuracy of latitude and longitude measurement, if determined and recorded.",meter,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,core_position_method,Code indicating how latitude and longitude were determined.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,core_position_notes,Any relevant submitter generated notes on how latitude and longitude were determined.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,core_elevation,Surface elevation of the core relative to defined datum.,meters,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,core_elevation_datum,The datum relative to which the core elevation was measured against (For a complete list of datum names and aliases please refer to the ISO Geodedic Registry https://geodetic.isotc211.org/).,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,core_elevation_accuracy,"Accuracy of elevation measurement, if determined and recorded",meters,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,core_elevation_method,Code indicating how elevation was determined,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,core_elevation_notes,Any relevant submitter generated notes on how elevation was determined,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,salinity_class,"Code based on submitter field observation or measurement indicating average annual salinity (Note: Palustrine and freshwater should only include tidal wetlands, or wetlands that are potentially/formerly tidal but artificially freshened due to artificial tidal restrictions).",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,salinity_method,Indicate whether salinity_class was determined using a field observation or a measurement,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,salinity_notes,Any relevant submitter generated notes on how salinity_class was determined,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,vegetation_class,Code based on submitter field observations or measurement indicating dominant wetland vegetation type.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,vegetation_method,Indicate whether vegetation_class was determined using a field observation or a measurement,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,vegetation_notes,Any relevant submitter generated notes on how vegetation_class and dominant_species were determined.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,inundation_class,Code based on submitter field observation or measurement indicating how often the coring location is inundated.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,inundation_method,Indicate whether inundation_class was determined using a field observation or a measurement,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,inundation_notes,Any relevant submitter generated notes on how elevation was determined,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Core Level,core_length_flag,"Indicated whether or not the coring team believes they recovered a full sediment profile, down to bedrock, or other non-marsh interface.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,study_id,"Unique identifier for the study made up of the first author’s family name, as well as the second author’s family name or ‘et al.’ if more than three, then publication year separated by underscores.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,site_id,Site identification code unique to each study,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,core_id,Core identification code unique to each site,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,depth_min,Minimum depth of a sampling increment.,centimeter,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,depth_max,Maximum depth of a sampling increment.,centimeter,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,sample_id,"Sample identification unique to the core. This should be used in the case that there are relevant lab specific sample codes, or in the case that there are multiple replicate samples.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,dry_bulk_density,Dry mass per unit volume of a soil sample. This does not include ash free bulk density.,grams per cubic centimeter,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,fraction_organic_matter,Mass of organic matter relative to sample dry mass. Ash free bulk density should not be used here but should be expressed as a loss on ignition fraction.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,fraction_carbon,Mass of carbon relative to sample dry mass.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,compaction_fraction,Fraction of the sample depth interval reduced due to compaction.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,compaction_notes,Any submitter generated notes on compaction.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,cs137_activity,Radioactivity counts per unit dry weight for radiocesium (137Cs).,becquerelPerKilogram,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,cs137_activity_sd,1 standard deviation of uncertainty associated with cs137_activity.,becquerelPerKilogram,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,total_pb210_activity,Total radioactivity counts per unit dry weight for excess lead 210 (210Pb).,becquerelPerKilogram,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,total_pb210_activity_sd,1 standard deviation of uncertainty associated with total_pb210_activity.,becquerelPerKilogram,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,ra226_activity,Total radioactivity counts per unit dry weight for Radium 226 (226Ra) if measured as part of the 210Pb dating process.,becquerelPerKilogram,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,ra226_activity_sd,1 standard deviation of uncertainty associated with ra226_activity.,becquerelPerKilogram,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,excess_pb210_activity,Excess radioactivity counts per unit dry weight for excess lead 210 (210Pb).,becquerelPerKilogram,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,excess_pb210_activity_sd,1 standard deviation of uncertainty associated with excess_pb210_activity.,becquerelPerKilogram,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,c14_age,Radiocarbon age as estimated from AMS measurements.,radio carbon year,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,c14_age_sd,Estimated uncertainty in c14_age.,radio carbon year,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,c14_material,Description of the material selected for radiocarbon (14C) dating.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,c14_notes,Any relevant submitter generated notes on 14C dating process.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,delta_c13,The isotopic signature of 13C. This is oftentimes measured along with c14_age and can be useful for analyzing carbon lability and provenance.,partsPerMillion,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,be7_activity,Radioactivity counts per unit dry weight for 7Be.,becquerelPerKilogram,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,be7_activity_sd,Estimated uncertainty in be_7_activity.,becquerelPerKilogram,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,am241_activity,Radioactivity counts per unit dry weight for 241Am.,becquerelPerKilogram,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,am241_activity_sd,Estimated uncertainty in am_241_activity.,becquerelPerKilogram,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,marker_date,"The age of any other dated depth horizon such as an artificial marker, pollen horizon, pollution horizon, etc.",YYYY-MM-DD,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,marker_type,Code indicating the type of marker.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,marker_notes,Any other submitter generated notes about the origin of the marker.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,age,"Most likely, median, or mean age of the depth interval from submitter generated age depth model.",year ,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,age_min,Minimum age of the depth interval from submitter generated age depth model.,year,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,age_max,Maximum age of the depth interval from submitter generated age depth model.,year,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,age_sd,Standard deviation of age estimate from submitter generated age depth model.,year,,,,,,,,,,,,,,,,,,,,,
CCRCN,Soil Depth Series,depth_interval_notes,Any other submitter generated notes specific to the depth interval.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Dominant Species Present,study_id,"Unique identifier for the study made up of the first author’s family name, as well as the second author’s family name or ‘et al.’ if more than three, then publication year separated by underscores.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Dominant Species Present,site_id,Site identification code unique to each study.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Dominant Species Present,core_id,Core identification code unique to each site.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Dominant Species Present,species_code,Code associated with a species or a vegetation assemblage,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Anthropogenic Impacts Present,study_id,"Unique identifier for the study made up of the first author’s family name, as well as the second author’s family name or ‘et al.’ if more than three, then publication year separated by underscores.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Anthropogenic Impacts Present,site_id,Site identification code unique to each study.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Anthropogenic Impacts Present,core_id,Core identification code unique to each site.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Anthropogenic Impacts Present,impact_class,Code indicating any major anthropogenic impacts historically and currently affecting the coring location.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Study Level Species Table,study_id,"Unique identifier for the study made up of the first author’s family name, as well as the second author’s family name or ‘et al.’ if more than three, then publication year separated by underscores.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Study Level Species Table,species_code,Code associated with a species or a vegetation assemblage.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Study Level Species Table,genus,Genus according to the most up to date classification.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Study Level Species Table,species ,Species according to the most up to date classification.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Study Level Species Table,sub_species,Any nomenclature referring to subspecies special cases.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Study Level Species Table,hybrid,Any nomenclature referring to special cases of hybridization.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Study Level Species Table,common_name,"Common name associated with the species, especially if it is referred to in any accompanying text.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Study Level Species Table,species_notes,Any other submitter defined notes regarding the species.,NA,,,,,,,,,,,,,,,,,,,,,
Crowther,Temp + Duration,Row Labels,Study names ,NA,,,,,,,,,,,,,,,,,,,,,
Crowther,Temp + Duration,Average of Mean delta T (degrees C),The average change in temperature,Degrees C,,,,,,,,,,,,,,,,,,,,,
Crowther,Temp + Duration,Average Length of Study (Years),Average study length,Years,,,,,,,,,,,,,,,,,,,,,
Crowther,Average of total C(g/cm^3),Row Labels,Study names ,NA,,,,,,,,,,,,,,,,,,,,,
Crowther,Average of total C(g/cm^3),C,Control ,(g/cm^3),,,,,,,,,,,,,,,,,,,,,
Crowther,Average of total C(g/cm^3),W,Warming,(g/cm^3),,,,,,,,,,,,,,,,,,,,,
Crowther,Average of total C(g/cm^3),Grand total,Grand Total of Warming,(g/cm^3),,,,,,,,,,,,,,,,,,,,,
Crowther,Average of %C,Row Labels,Study names ,NA,,,,,,,,,,,,,,,,,,,,,
Crowther,Average of %C,Total ,Total precentage of C,%,,,,,,,,,,,,,,,,,,,,,
Crowther,Average of Bulk Density Avg.,Row Labels,Study names ,NA,,,,,,,,,,,,,,,,,,,,,
Crowther,Average of Bulk Density Avg.,Total ,Mean of the bulk density ,?,,,,,,,,,,,,,,,,,,,,,
ISCN3,site  ,site_name,A unique name for a site that corresponds to a georeferenced point.,,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,site_note,"Various notes on and descriptions of the site other than C flux, climate, photo or vegetation. May include local names for physiographic features, which may or may not appear on USGS Topographic Quadrangles.",,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,country,Nation of origin of the data.,,,,,,,,,,,,,,,,,,,,,,
ISCN3,site  ,Province,"A politically defined sub-region of a country, for any country that does not describe these sub-divisions as ""states"".",,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,state,"State or territory. At output, may also include province for any contry that does not describe political subdivision as ""states"".",,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,county,"For data collected in the U.S., the county of origin within a U.S. State.",,,,,,,,,,,,,,,,,,,,,,
ISCN3,site  ,lat,"The latitudinal coordinate, in decimal degrees, to the appropriate level of spatial accuracy (up to five decimal degrees; WGS84 Latitude/Longitude datum preferred).",dec. deg,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,long,"The longitudinal coordinate, in decimal degrees, to the appropriate level of spatial accuracy (up to five decimal degrees; WGS84 Latitude/Longitude datum preferred).",,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,datum,"Latitude/Longitude datum against which Latitude and Longitude are reported. If left blank, WGS84 will be assumed.",,,,,,,,,,,,,,,,,,,,,,
ISCN3,site  ,location_acc,Estimated accuracy of the location of the site. Site origin has a 95% or greater probability of being within this many meters of the reported location.,m,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,elevation,"The elevation at the site as determined by topo map, GPS, altimeter, etc. Contributed value is assumed accurate within several meters regardless of method used.",m,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,vegclass_nat,"The type of vegetation at the site, described according to the Federal Geographic Data Committee’s classification scheme (http://www.fgdc.gov/standards/projects/FGDCstandards-projects/vegetation/NVCS_V2_FINAL_2008-02.pdf). Classify the site according to the four uppermost descriptive levels (Class, Subclass, Formation, Division).",,,,,,,,,,,,,,,,,,,,,,
ISCN3,site  ,vegclass,"The type of vegetation at the site, described according to a TBD international classification scheme.",,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,vegclass_local,"The type of vegetation at the site, described according to the classification scheme commonly used at the site. Indicate the scheme in the Local Vegetation Classification Type. Leave blank if unknown or no local classification applies.",,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,vegclass_local_type,Indicate the local classification scheme used at this site.,,,,,,,,,,,,,,,,,,,,,,
ISCN3,site  ,veg_note,"Provide references or links here if additional site-level vegetation data are available (e.g. species composition, basal area, aboveground biomass).",,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,landscape,"The type of Landscape on which the site occurs, according to USDA-NRCS-NSSC Field Book for Describing and Sampling Soils (Staff 2002; p. 3-11) This information can be arranged in hierarchy above Landform and 2D Position to describe the geographic setting of the site.",,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,landform,The type of Landform on which the site is located. See USDA-NRCS-NSSC Field Book for Describing and Sampling Soils (Staff 2002; pp. 3-12 through 3-16). This information can be nested between Landscape and 2D Position to describe the setting of the site.,,,,,,,,,,,,,,,,,,,,,,
ISCN3,site  ,2d_position,2-dimensional position of the site on the Landform on which it is located. See USDANRCS-NSSC Field Book for Describing and Sampling Soils (Staff 2002; pp. 3-38 through 3-41). This information supplements Landscape and Landform to describe the geographic setting of the site.,,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,landform_note,Additional notes about the Landform (e.g. microtopography) in this site.,,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,parent,The geologic or organic precursors to the soil at the site.,,,,,,,,,,,,,,,,,,,,,,
ISCN3,site  ,aspect_deg,"The numerical observation of aspect at the site. The compass bearing (corrected for declination) that a slope faces, looking downslope. If the site has no slope leave blank.",degree,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,aspect_cl,The cardinal direction that the slope faces at a site. Use this field if only if you do not provide the azimuth of the Site Aspect in compass degrees.,,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,slope,The angle of the ground surface through the site and in the direction that overland water would flow. Make observations facing downslope to avoid errors associated with some brands of clinometers. If the site has no slope leave blank.,percent,,,,,,,,,,,,,,,,,,,,,
ISCN3,site  ,stand_age,The maximum stand age at the site in years.,years,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,stand_maturity,"If the site is forested, how mature was the stand at the time of sampling? The class may be determined by tree cores if available. If stand age is known, then 0-4 years: “young, regenerative”, 4-79 years: “even-aged, aggrading, and 80+ years: “mature even-age” or “mature, uneven-age”. Choose “not applicable” for grassland or agricultural areas. If unknown, leave blank.",,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,successional_status,Description of the assumed successional status at the site. This description is of necessity highly subjective.,,,,,,,,,,,,,,,,,,,,,,
ISCN3,site  ,drainagecl,The drainage class of the soil sampled at the site according to the specific terminology employed in the USDA-NRCS-NSSC Field Book for Describing and Sampling Soils (Staff 2002; p. 1-10).,,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,depth_water,Measure or estimate the depth from the ground surface to the stabilized contact with freestanding water in an open bore-hole or well at the time of sampling.,cm,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,thaw_depth_site,The depth at which permafrost will usually thaw each summer for the site. Usually an average of many measurements over the site. This may or may not be from the thaw depth measured from individual profiles and hence may be different from Thaw Depth of the profile,cm,,,,,,,,,,,,,,,,,,,,,
ISCN3,site  ,bedrock_depth,The observed depth to the top of the bedrock layer,cm,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,climate_station,Name of nearest climate station.,,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,ffdays,The expected number of days between the last freezing temperature (0 degrees Celsius) in spring and the first freezing in fall.,days,,,,,,,,,,,,,,,,,,,,,
ISCN3,site  ,flood_freq,"The annual probability of a flood event expressed as a class according to the terminology employed in the USDA-NRCS-NSSC Field Book for Describing and Sampling Soils (Staff 2002, pg. 1-11).",,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,geo_form,"The basic lithostratigraphic unit used to describe, delimit, and interpret sedimentary, extrusive igneous, metavolvanic, and metasedimentary or sediment bodies (excludes metamorphic and intrusive igneous rocks), based on lithic characteristics and stratigraphic position. A formation is commonly, but not necessarily, tabular and stratified and is of sufficient extent to be mappable at the earth's surface or traceable in the subsurface at convenient map scales.",,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,map,"The arithmetic average of the total annual (liquid) precipitation , preferably taken over the standard ""normal"" period, 1961-1990.",mm,,,,,,,,,,,,,,,,,,,,,
ISCN3,site  ,mat,"The arithmetic average of the daily maximum and minimum temperatures for a calendar year, preferably taken over the standard ""normal"" period, 1961.",°C,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,mast,"The mean annual soil temperature, preferably measured at a depth of 50 cm below the soil surface, or at the upper boundary of a root-limiting layer.",°C,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,pond_freq,The number of times ponding occurs over a period of time.,,,,,,,,,,,,,,,,,,,,,,
ISCN3,site  ,runoff,"Runoff potential class for the soil, assigned based on local/state/MLRA criteria.",,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,site_perm,A class rating of the overall ability of air and water to move through the soil profile. The class limits are as defined in the National Soil Survey Handbook.,,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,water_table_duration,The cumulative annual duration that a water table can be expected to exist in the soil.,days,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,cflux_note,Provide references or links to carbon flux measurements that have been conducted at the site.,,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,climate_note,Provide references or links to climate data for the site.,,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,eco_note,Special information about the site that makes it anomalous from the USDA Omernik ecoregion in which it is located.,,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,photo_note,References or links to photos from the site,,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,soiltemp_note,Indicate information about additional soil temperature data available about this site. Please include references and links if possible.,,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,add_note,"Add links or publication references for any additional belowground data available for the site (soil chemistry, microbial measurements).",,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,soc,"The data contributor's calculated soil organic carbon stock value for the site, cluster, profile or layer.",g cm-2,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,soc_type,"An indication of which portion of the profile (organic, mineral, organic + mineral) is described by the contributor's calculated soil organic carbon stock at the site, cluster, profile or layer level.",,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,soc_pcount,The number of profiles used in the calculation of the mean site or cluster-level soil organic carbon stocks.,,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,soc_depth,"The depth to which profiles were sampled to quantify the mean site, cluster, or profile calculated soil organic carbon stocks.",cm,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,soc_sigma,"The standard deviation of the site, cluster, profile, or layer-level calculated soil organic carbon stock. (For layer soil organic carbon stocks, this may be based on analytical or sampling replicates of %C or bulk density measurements).",g cm-2,,,,,,,,,,,,,,,,,,,,,
ISCN3,site,soc_method,"A description of the methods used to calculate (including any gap-filling) site, cluster, profile or layer soil organic carbon stocks.",,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,site_name,A unique name for a site that corresponds to a georeferenced point.,,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,profile_name,A unique name for a single profile. This can be the same as the site name if there is only one profile at the site. For NRCS data it is the same as “Pedon ID”.,,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,profile_note,Additional notes about the profile,,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,layer_method,"Description of how the individual layers of the soil profile were sampled as genetic horizons, fixed depth intervals, some combination or other.",,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,profile_method,"Description of the methods used to sample the soil profile, e.g., quantitative pit, core, bucket auger, etc.",,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,observation_date,The date at which the profile was taken at the site.,YYYY-MMDD or MM/DD/YYYY,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,observation_date_acc,Estimated accuracy of the observation date,,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,transect_flag,"Indicate whether this profile was part of a transect by entering ""yes"" or leaving the field blank.",,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,surface_veg,Describe the dominant vegetation at the exact location of the profile.,,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,soil_taxon,The taxonomic classification of the soil profile following NRCS convention (http://soils.usda.gov/technical/classification/taxonomy/).,,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,soil_series,The NRCS soil series of the profile (http://soils.usda.gov/technical/classification/taxonomy/).,,,,,,,,,,,,,,,,,,,,,,
ISCN3,profile,add_taxon_flag,"Indicate whether there is more taxonomic information for this profile by entering “yes”, otherwise leave the field blank.",,,,,,,,,,,,,,,,,,,,,,
